Subject,Date,Hours
norsk,01/01/21,0.0
work_out,01/01/21,0.0
cfa,01/01/21,0.0
read,01/01/21,0.0
dvorak,01/01/21,0.0
python,01/01/21,7.82
python,01/01/25,30.0
dvorak,01/01/25,15.0
python,01/02/21,2.7
python,01/02/21,1.55
cfa,01/02/21,0.0
work_out,01/02/21,0.0
read,01/02/21,0.0
dvorak,01/02/21,0.0
python,01/03/21,3.5
read,01/03/21,0.58
norsk,01/03/21,0.0
cfa,01/03/21,0.0
dvorak,01/03/21,0.0
dvorak,01/04/21,0.68
dvorak,01/04/21,1.5
dvorak,01/04/21,0.68
norsk,01/04/21,0.0
cfa,01/04/21,0.0
work_out,01/04/21,0.0
python,01/04/21,3.0
read,01/04/21,0.0
dvorak,01/05/21,0.67
cfa,01/05/21,0.0
read,01/05/21,0.75
work_out,01/05/21,0.0
dvorak,01/05/21,0.5
dvorak,01/05/21,0.5
python,01/05/21,2.5
python,01/05/21,3.25
norsk,01/05/21,0.0
read,01/06/21,0.0
cfa,01/06/21,0.0
norsk,01/06/21,0.45
dvorak,01/06/21,0.57
games,01/06/21,0.0
python,01/06/21,3.5
python,01/06/21,2.75
work_out,01/06/21,0.0
norsk,01/07/21,0.54
games,01/07/21,0.0
python,01/07/21,2.18
norsk,01/07/21,1.48
cfa,01/07/21,0.0
work_out,01/07/21,0.0
python,01/07/21,1.63
read,01/07/21,0.0
dvorak,01/07/21,0.72
norsk,01/08/21,0.0
cfa,01/08/21,0.0
dvorak,01/08/21,0.9329999999999999
work_out,01/08/21,0.0
read,01/08/21,0.0
dvorak,01/08/21,1.0833
cfa,01/08/21,0.0
python,01/08/21,4.33
games,01/08/21,0.0
read,01/08/21,0.0
dvorak,01/08/21,2.0
work_out,01/08/21,0.0
python,01/08/21,0.5
python,01/08/21,1.5
norsk,01/08/21,2.0
dvorak,01/10/21,1.25
work_out,01/10/21,0.0
cfa,01/10/21,0.0
python,01/10/21,2.83
cfa,01/10/21,0.0
dvorak,01/10/21,0.67
games,01/10/21,1.25
read,01/10/21,1.25
games,01/10/21,1.43
norsk,01/10/21,0.0
read,01/10/21,1.25
work_out,01/10/21,0.0
norsk,01/10/21,0.0
python,01/10/21,2.833
norsk,01/11/21,0.96
python,01/11/21,5.0
cfa,01/11/21,0.0
dvorak,01/11/21,1.33
work_out,01/11/21,0.0
read,01/11/21,0.0
games,01/11/21,0.0
python,01/11/21,30
