Subject,Date,Hours
norsk,2021-01-01,0.0
work_out,2021-01-01,0.0
cfa,2021-01-01,0.0
read,2021-01-01,0.0
dvorak,2021-01-01,0.0
python,2021-01-01,7.82
read,2021-01-02,0.0
work_out,2021-01-02,0.0
cfa,2021-01-02,0.0
python,2021-01-02,2.7
dvorak,2021-01-02,0.0
python,2021-01-02,1.55
python,2021-01-03,3.5
read,2021-01-03,0.58
norsk,2021-01-03,0.0
cfa,2021-01-03,0.0
dvorak,2021-01-03,0.0
work_out,2021-01-04,0.0
dvorak,2021-01-04,0.68
dvorak,2021-01-04,1.5
cfa,2021-01-04,0.0
norsk,2021-01-04,0.0
python,2021-01-04,3.0
read,2021-01-04,0.0
dvorak,2021-01-04,0.68
work_out,2021-01-05,0.0
norsk,2021-01-05,0.0
dvorak,2021-01-05,0.5
dvorak,2021-01-05,0.5
python,2021-01-05,2.5
cfa,2021-01-05,0.0
python,2021-01-05,3.25
read,2021-01-05,0.75
dvorak,2021-01-05,0.67
norsk,2021-01-06,0.45
dvorak,2021-01-06,0.57
games,2021-01-06,0.0
python,2021-01-06,3.5
python,2021-01-06,2.75
work_out,2021-01-06,0.0
read,2021-01-06,0.0
cfa,2021-01-06,0.0
cfa,2021-01-07,0.0
read,2021-01-07,0.0
games,2021-01-07,0.0
work_out,2021-01-07,0.0
python,2021-01-07,1.63
dvorak,2021-01-07,0.72
norsk,2021-01-07,1.48
norsk,2021-01-07,0.54
python,2021-01-07,2.18
norsk,2021-01-08,2.0
python,2021-01-08,0.5
work_out,2021-01-08,0.0
dvorak,2021-01-08,2.0
read,2021-01-08,0.0
games,2021-01-08,0.0
cfa,2021-01-08,0.0
python,2021-01-08,1.5
norsk,2021-01-08,0.0
python,2021-01-08,4.33
dvorak,2021-01-08,1.0833
read,2021-01-08,0.0
work_out,2021-01-08,0.0
dvorak,2021-01-08,0.9329999999999999
cfa,2021-01-08,0.0
games,2021-01-10,1.43
work_out,2021-01-10,0.0
python,2021-01-10,2.833
work_out,2021-01-10,0.0
norsk,2021-01-10,0.0
read,2021-01-10,1.25
read,2021-01-10,1.25
dvorak,2021-01-10,0.67
norsk,2021-01-10,0.0
dvorak,2021-01-10,1.25
cfa,2021-01-10,0.0
games,2021-01-10,1.25
cfa,2021-01-10,0.0
python,2021-01-10,2.83
read,2021-01-11,0.0
work_out,2021-01-11,0.0
python,2021-01-11,5.0
norsk,2021-01-11,0.96
games,2021-01-11,0.0
dvorak,2021-01-11,1.33
cfa,2021-01-11,0.0
read,2025-01-15,15.0
games,2025-01-21,15.0
norsk,2025-01-21,15.0
cfa,2025-01-22,15.0
python,2029-01-01,30.0
dvorak,2025-02-18,0.0
